tweet_id,tweet_url,author,text,likes,retweets,hashtags
1.95448E+18,https://x.com/piyush_trades/status/1954484985219473601,@piyush_trades,"I never thought someone could get addicted to zomato or blinkit.

But I guess I am addicted. I open them even when I have nothing to order.

I just order random stuffs which I don’t even intend to use fully. I will consider their stocks for sure now.",4,0,
1.95354E+18,https://x.com/Mahesh_Tennesee/status/1953540457847566452,@Mahesh_Tennesee,Special Poster for #Coolie in District by Zomato app ,209,65,['#Coolie']
1.95631E+18,https://x.com/prudvitheja29/status/1956309858564841957,@prudvitheja29,We're just getting started ,56,0,
1.9537E+18,https://x.com/DrAshishPradhan/status/1953696987951382803,@DrAshishPradhan,"It should be mandatory for restaurants listed on @Zomato and @Swiggy to upload their own food photos, rather than downloading them from the internet.",5,1,
1.95446E+18,https://x.com/AVARAKADAVARAA/status/1954464944784654653,@AVARAKADAVARAA,Jab ek sabji ban hi rhi to dusri bhi bana lete.... Zomato se koi sabji kyu hi order karega.....,2,0,
1.95409E+18,https://x.com/SaurabhJoshi/status/1954091990099906792,@SaurabhJoshi,"Hey @zomato @zomatocare @deepigoyal  -- your AI bot is quite truly, utterly useless. You're irritating customers and losing them. Do what you please with this.",3,0,
1.95273E+18,https://x.com/Inc42/status/1952731323996778858,@Inc42,"𝐎𝐍𝐃𝐂 𝐯𝐬 𝐒𝐰𝐢𝐠𝐠𝐲-𝐙𝐨𝐦𝐚𝐭𝐨: 𝐖𝐡𝐨’𝐬 𝐒𝐞𝐫𝐯𝐢𝐧𝐠 𝐭𝐡𝐞 𝐁𝐞𝐭𝐭𝐞𝐫 𝐃𝐞𝐚𝐥? 

India’s food delivery wars are heating up   

What started as a Swiggy-Zomato duopoly is now facing a serious challenger in ONDC — backed by the government, fueled by restaurant",3,1,
1.9545E+18,https://x.com/ashissshhhhhh/status/1954496994791366755,@ashissshhhhhh,Ruko abhi zomato kr deta hu,1,0,
1.95302E+18,https://x.com/dipsverse/status/1953016018319597741,@dipsverse,"bahut ho gaya zomato swiggy, ab mujhe ghar ki yellow wali dal aur chaawal chahiye.",2,0,
1.95382E+18,https://x.com/radhika_bajaj/status/1953817016621490457,@radhika_bajaj,"Me when I find someone working at Zomato or Swiggy

“Tumahara toh pura khaana free hota hoga” ",12,0,
1.95457E+18,https://x.com/CronJobQueen/status/1954569498515964126,@CronJobQueen,"Dealing with @zomatocare is way easier than Swiggy. With Swiggy, a spillage means a full chat session where you have to fight your case. In Zomato ust upload pics, they verify, and send you a coupon. Sure, I'd rather avoid spillage, but at least I don't have to play lawyer to",5,0,
1.95415E+18,https://x.com/anu2181/status/1954151397244764648,@anu2181,This is actually so cute #Zomato,3,0,['#Zomato']
1.95462E+18,https://x.com/honeywithcrypto/status/1954618696053182758,@honeywithcrypto,"Late night order from Zomato done by $USDT crypto using 
@TabiPayHQ
 card 

Small payments + Large Payments = TabiPay Card 


@Tabizens
 
@Lfuckjpg
 
@Momoxu7
 
@LinkeysB
 
@Momoa_crypto
 
@charis_em


@0xSparkle",23,1,
1.95302E+18,https://x.com/MrsWriter_X/status/1953019022359814348,@MrsWriter_X,சமைக்க சோம்பேறித்தனமா இருக்குனு Zepto ல மேகி ஆர்டர் போட்டேன்.. போட்டதுக்கு அப்புறம் தான் யோசிக்கிறேன்.. அதையும் நாம தான சமைக்கனும் னு.‌ இதுக்கு பேசாம Swiggy Zomato ல ஏதாச்சும் சாப்பாடு ஆர்டர் போட்டுருக்கலாம்! ,9,0,
1.95603E+18,https://x.com/notamandareally/status/1956033433039405475,@notamandareally,damn i was a taxiforsure and foodpanda girl before i was ola/uber and swiggy/zomato girl,5,0,
1.95384E+18,https://x.com/arpit_vermaniac/status/1953838308879941822,@arpit_vermaniac,"10 minutes on Earth = 1 minute of delivery time shown on Zepto/Swiggy/Zomato.
Nolan take notes.",2,0,
1.95365E+18,https://x.com/rishiK2033/status/1953652245318578502,@rishiK2033,"Zomato और swiggy के 
सफ़लता के पीछे किसी एक 

औरत का हाथ नहीं है लाखों 
आलसी औरतों का हाथ है 
",2,1,
1.95348E+18,https://x.com/Aismindiia/status/1953475340518748598,@Aismindiia,"Top Nifty50 Executives, Zero Salary 

 Mukesh Ambani (Reliance) & Deepinder Goyal (Zomato/Eternal) drew no salary in FY25.

 Ambani has taken zero pay since FY21.
 Goyal waived pay since April 2021 — committed till March 2026.",6,0,
1.95663E+18,https://x.com/mashrujeet/status/1956630402787074478,@mashrujeet,"Zomato order placed at 12:17 PM. ETA 12:59 PM.

Following up with customer service since then.

AI (with lots of artificial empathy):
Your order will reach by 1:28 PM; we had to reassign a partner.

After follow-ups,
AI: Your order will reach by 1:30 PM.

Again after follow ups",0,0,
1.95296E+18,https://x.com/NS7703/status/1952959926122496093,@NS7703,maa clg vallu graduation ayyaka 1yr zomato gold free ga iccharu,5,1,
1.95421E+18,https://x.com/tiwarivedant16/status/1954214385150497249,@tiwarivedant16,"@zomatocare @zomato
I joined as a delivery partner on 21 July (ID: FE6394035).The very next day, my account was locked for behaviour issues without even completing a single order.I’ve raised multiple tickets but only get the same copy-paste reply every time. No call or something",2,0,
1.80633E+18,https://x.com/varunshraddha_/status/1806329075042050311,@varunshraddha_, waah @zomato,0,0,
1.95448E+18,https://x.com/SanatanPrabhat/status/1954475849639502059,@SanatanPrabhat," “India must aim to be a ruthless superpower!” – Zomato CEO Deepinder Goyal on Trump’s 50% import duty

Economic growth, tech innovation & defence are vital - but above all, we need unshakable ambition.

#TrumpTariff #Geopolitics #TariffRow",32,26,"['#TrumpTariff', '#Geopolitics', '#TariffRow']"
1.95635E+18,https://x.com/mastkashh/status/1956352869285744972,@mastkashh,"I open zomato 
I add food to my cart 
I see the final price
I go and make Maggi",5,0,
1.95347E+18,https://x.com/thelifeofaarya/status/1953472657933865285,@thelifeofaarya,zomato wale bhaiya mere samne mujhe hi 3 stars ki rating deke gaye hain,13,0,
1.95311E+18,https://x.com/Inc42/status/1953108811142549635,@Inc42,"India’s new-age tech startups are in their profitability era — and FY25 has proven to be a breakout year for many listed players. From Info Edge leading the charts with a staggering ₹1310 Cr in net profit to Zomato, Justdial, IndiaMart and Digit crossing the ₹500 Cr mark, the",17,2,
1.9555E+18,https://x.com/aviralbhat/status/1955501627902931245,@aviralbhat,"Indian firms underinvesting in R&D may also be cultural 

Big 5 IT firms gave out $90B in dividends, built huge cash reserves, instead of reinvesting

Older Indian firms have grown up in scarcity, perhaps the mindset makes them conservative

Next-gen like Zomato will be audacious",900,57,
1.95413E+18,https://x.com/RajChheda99/status/1954126200734880132,@RajChheda99,"If we exclude the recent inclusions of Jio and Zomato, then the P/E would be in below average zone",5,0,
1.9531E+18,https://x.com/PranekiT/status/1953099289418235981,@PranekiT,"Saw a @Swiggy driver crash after a dog darted in front of him. Bystanders and I gave first aid. After 15 mins of bleeding, he insisted on delivering despite our pleas. The harsh reality of 10-min delivery. @Swiggy,@zomato please prioritize rider safety.",6,0,
1.95496E+18,https://x.com/cybervillager/status/1954959552111141346,@cybervillager,"Zomato delivering smiles, truly ",137,50,
1.95368E+18,https://x.com/imYadav31/status/1953675036197601735,@imYadav31,"First things first:
 2nd is my HDFC Infinia statement date
 On the 3rd, I load wallets through gift vouchers across all major apps I’ll use this month.
 Flipkart
 Amazon
 Swiggy
 Zomato
 Myntra

Saves time when I’m in a rush & keeps my statement clean.
No 20 tiny",42,0,
1.95405E+18,https://x.com/scorprian/status/1954054497128644937,@scorprian,Zomato order placed at 9.40 AM today in Bangalore and still waiting for it to be delivered..what a pathetic service  and when you complain you get standard robotic reply. @zomato @zomatocare  @deepigoyal .. this has been happening for last 5 orders,5,2,
1.95534E+18,https://x.com/Datarsahab/status/1955342311199506712,@Datarsahab,Sometimes we had to tip extra to Zomato delivery guys because they got attacked at night due to  silent e-scooters. Uber Moto & Rapido bikes were allowed back then (unsure now) and so was seeing dogs chase you at 9:30 AM while you’re half-asleep on your way to work.,2,0,
1.95417E+18,https://x.com/auteasm/status/1954169748893388927,@auteasm,"There should be a third food ordering app zomato & swiggy milke maa chod rhe hai industry ki , how much better is a duopoly really than a monopoly ?",9,0,
1.95585E+18,https://x.com/aniketkrishna/status/1955853077421945191,@aniketkrishna,"research update : quick commerce industry

> trying out swiggy instead of (zomato + blinkit) for the next few weeks

> no other way to develop a touch and feel of what you own. 

> so far been a very satisfied user of zomato and blinkit. 

> not a fan of zepto. in fact, i really",3,0,
1.95522E+18,https://x.com/HarUniversity/status/1955220262057550021,@HarUniversity,"People who are living in Lutyens delhi Or jorbagh type posh areas don't have any issue with Stray Dogs. 

Stray dogs is a problem for the person who is delivering products from blinkit zomato etc. 

Stray dogs is a problem of hardworking Middle class, poor and downtrodden. 

It",24,9,
1.95281E+18,https://x.com/ManmohitSandhu/status/1952805600339083739,@ManmohitSandhu,Same offer is available for Zomato Gold. I just renewed mine! ,3,0,
1.95602E+18,https://x.com/ETMONEY/status/1956019372494815444,@ETMONEY,"Bandhan Small Cap completely exited 6 companies, including large-cap names like Reliance Industries and Eternal (Zomato).

Beyond the entries and exits, the fund also reshaped its existing holdings.",18,0,
1.95644E+18,https://x.com/YearOfTheKraken/status/1956437976092979375,@YearOfTheKraken,300 rupees me mil jaata hai Zomato pe bhai ,2,0,
1.95601E+18,https://x.com/dealztrendz/status/1956011215194407107,@dealztrendz,"Buy 1 Get 1 Free (District by Zomato) – Movies

Date: 15th August only 

How it works
• Buy 2 tickets in one booking → get up to ₹250 off on the 2nd ticket (BOGO).
• Once per user, and only on your first movie booking
• Valid on all movies.",304,30,
1.95379E+18,https://x.com/samajwadi90656/status/1953786109487435810,@samajwadi90656,पैसा पहले से पेड था क्या,2,0,
1.9549E+18,https://x.com/yappedallnightt/status/1954901439752647093,@yappedallnightt,Ye zomato vale refund pura kyu nhi dete,6,0,
1.95359E+18,https://x.com/shrey_sacheti/status/1953592491476652464,@shrey_sacheti,The Zomato guy from changing lane like that and the driver for speeding on a curve he could have slowed down just a little but not he’s at minor fault,3,0,
